Certificate Serial,Marriage Date,Venue,County,System Status,Verification Status,Spouses Count,Completion Rate
"26008","Dec 24, 2025","PEFA CHURCH AMANI","KILIFI","Pending","Unverified","0","60%"
"551507","Dec 5, 2025","REGISTRAR'S OFFICE, NAIROBI","NAIROBI","Pending","Unverified","2","90%"
"551512","Dec 4, 2025","Registrar's Office, Nairobi","47","Pending","Unverified","2","80%"
"633366","Nov 30, 2025","AFRICA INLAND CHURCH - MATUNDA, MWALA","MACHAKOS","Pending","Unverified","0","60%"
"131528","Nov 30, 2025","Miharati","Nyandarua","Pending","Unverified","0","50%"
"618902","May 23, 2025","REGISTRAR'S OFFICE, NAIROBI","NAIROBI","Pending","Unverified","0","60%"
"618907","May 23, 2025","REGISTRAR'S OFFICE, NAIROBI","NAIROBI","Pending","Unverified","0","60%"
"607643","May 16, 2025","REGISTRAR'S OFFICE, NAIROBI","NAIROBI","Pending","Unverified","0","60%"
"607638","May 16, 2025","REGISTRAR'S OFFICE, NAIROBI","NAIROBI","Pending","Unverified","0","60%"
"607641","May 16, 2025","REGISTRAR'S OFFICE, NAIROBI","NAIROBI","Pending","Unverified","0","60%"
"607647","May 16, 2025","REGISTRAR'S OFFICE, NAIROBI","NAIROBI","Pending","Unverified","0","60%"
"607636","May 16, 2025","REGISTRAR'S OFFICE, NAIROBI","NAIROBI","Pending","Unverified","0","60%"
"607639","May 16, 2025","REGISTRAR'S OFFICE, NAIROBI","NAIROBI","Pending","Unverified","0","60%"
"607644","May 16, 2025","REGISTRAR'S OFFICE, NAIROBI","NAIROBI","Pending","Unverified","0","60%"
"607630","Feb 5, 2025","REGISTRAR'S OFFICE, NAIROBI","NAIROBI","Pending","Unverified","0","60%"
"607632","Feb 5, 2025","REGISTRAR'S OFFICE, NAIROBI","NAIROBI","Pending","Unverified","0","60%"
"607635","Feb 5, 2025","REGISTRAR'S OFFICE, NAIROBI","NAIROBI","Pending","Unverified","0","60%"
"607634","Feb 5, 2025","REGISTRAR'S OFFICE, NAIROBI","NAIROBI","Pending","Unverified","0","60%"
"122178","Jan 6, 2025","ACK ST TIMOTHY","NAIROBI","Pending","Unverified","0","60%"
"549199","Mar 22, 2023","REGISTRAR'S OFFICE, NAIROBI","NAIROBI","Pending","Unverified","2","100%"
"549198","Mar 22, 2023","REGISTRAR'S OFFICE, NAIROBI","NAIROBI","Pending","Unverified","2","90%"
"546439","Mar 1, 2023","REGISTRAR'S OFFICE, NAIROBI","NAIROBI","Pending","Unverified","2","80%"
"486627","Jan 1, 2023","REGISTRAR'S OFFICE, NAIROBI","NAIROBI","Completed","Pending","0","60%"
"551505","Mar 12, 2022","REGISTRAR'S OFFICE, NAIROBI","NAIROBI","Pending","Unverified","2","90%"
"000984","Feb 6, 2022","Salama Masjid - Karanja Rd","Nairobi","Pending","Unverified","2","90%"
"331301","Sep 17, 2020","Registrar's Office, Nairobi","Nairobi","Pending","Unverified","2","90%"
"131338","Dec 29, 2018","NEEMA BAPTIST CHURCH TAKAYE","KILIFI","Pending","Unverified","0","60%"
"131340","Dec 29, 2018","NEEMA BAPTIST CHURCH TAKAYE","KILIFI","Pending","Unverified","0","60%"
"142427","Dec 29, 2018","KIBOKORI PENTECOSTAL WORSHIP CENTRE","KILIFI","Pending","Unverified","0","60%"
"73393","Dec 29, 2018","KILIFI PEFA CHURCH","KILIFI","Pending","Unverified","0","60%"
"70588","Dec 8, 2018","JOY FELLOWSHIP MINISTRIES MALINDI","Kilifi","Pending","Pending","2","90%"
"255468","Mar 31, 2018","PCEA MARERENI CHURCH","KILIFI","Pending","Unverified","0","60%"
"24688","Mar 31, 2018","SOUL HARVEST MIN KILIFI NORTH","KILIFI","Pending","Unverified","0","60%"
"115886","Mar 4, 2018","ACK ST THOMAS","KILIFI","Pending","Unverified","0","60%"
"6823","Jan 15, 2018","PEFA CHURCH AMANI","KILIFI","Pending","Christian","0","60%"
"2685","Jan 6, 2018","LIGHT OF GOD EVANGELISM","KILIFI","Pending","Pending","0","50%"
